| artwork id | related theme | connection-level | thematic-connection                                                                                                                                                                                                         |
| 64         | nature_body   | related          | The Golden Haggadah is useful for human figures and narrative scenes, though not primarily for anatomy or landscape. It is a secondary example here. 250AP.txt                                                              |
| 68         | nature_body   | top-pick         | The Arnolfini Portrait is a strong work for human presence, bodily identity, and the symbolic framing of the couple. It also supports discussion of clothing and the body in domestic space. 250AP.txt                      |
| 71         | nature_body   | related          | Madonna and Child with Two Angels is useful for tenderness, maternal body imagery, and idealized infant form. It supports body-centered analysis, especially in devotional art. 250AP.txt                                   |
| 72         | nature_body   | top-pick         | The Birth of Venus is a classic AP example of the idealized female nude and the body in mythic nature. It is one of the strongest works for beauty, anatomy, and allegorical nudity. 250AP.txt                              |
| 74         | nature_body   | related          | Adam and Eve is useful for the body in a biblical context, especially anatomy and gender. It is a strong supporting work for the nude figure and biblical narrative. 250AP.txt                                              |
| 75         | nature_body   | top-pick         | Michelangelo’s Sistine Chapel ceiling is essential for heroic anatomy and the monumental nude. It is one of the most important works for the expressive human body in Western art. 250AP.txt                                |
| 77         | nature_body   | related          | The Isenheim altarpiece is useful for the tortured body of Christ and bodily suffering. It is especially valuable for discussing the body in pain and devotion. 250AP.txt                                                   |
| 78         | nature_body   | top-pick         | Pontormo’s Entombment of Christ is a strong example of distorted bodies and emotional intensity. It is highly useful for Mannerist discussion of the figure. 250AP.txt                                                      |
| 80         | nature_body   | top-pick         | Venus of Urbino is a major work for the reclining female nude and the body as sensual subject. It is one of the strongest AP examples for bodily display and domestic intimacy. 250AP.txt                                   |
| 83         | nature_body   | top-pick         | Hunters in the Snow is a key landscape work for human life in relation to nature. It is excellent for discussing seasonal environment, labor, and lived landscape. 250AP.txt                                                |
| 88         | nature_body   | related          | San Carlo alle Quattro Fontane is primarily architectural, but its organic curves can be connected to bodily movement. It is a secondary example for nature/body rather than a core one. 250AP.txt                          |
| 89         | nature_body   | top-pick         | Bernini’s Ecstasy of Saint Teresa is important for the embodied experience of spiritual emotion. It is a top work for bodily expression, sensation, and transcendence. 250AP.txt                                            |
| 92         | nature_body   | related          | Woman Holding a Balance is useful for the human figure in a calm interior and for moral self-possession. It is a supporting work for the body and domestic identity. 250AP.txt                                              |
| 96         | nature_body   | related          | Fruit and Insects is a useful still life for attention to the natural world and organic detail. It supports the nature side of the theme more than the body side. 250AP.txt                                                 |
| 100        | nature_body   | related          | A Philosopher Giving a Lecture on the Orrery is useful for the body in relation to scientific curiosity and the natural world. It is a supporting Enlightenment example rather than a top nature/body work. 250AP.txt       |
| 101        | nature_body   | related          | The Swing links the figure to landscape, movement, and courtly leisure. It works as a related example of the body in a natural setting. 250AP.txt                                                                           |
| 103        | nature_body   | top-pick         | The Oath of the Horatii is a major work for the disciplined male body and civic virtue. It is especially valuable for discussing bodies as carriers of political and moral ideals. 250AP.txt                                |
| 107        | nature_body   | top-pick         | La Grande Odalisque is one of the most important works for the idealized and exaggerated female nude. It is a strong AP example for bodily distortion, fantasy, and erotic display. 250AP.txt                               |
| 108        | nature_body   | top-pick         | Liberty Leading the People is important for the heroic body in action and for political symbolism. It is a strong example of figure, movement, and allegorical representation. 250AP.txt                                    |
| 109        | nature_body   | top-pick         | The Oxbow is a core landscape work for the relationship between the natural world and human perception. It is useful for discussing wilderness, settlement, and the American landscape tradition. 250AP.txt                 |
| 111        | nature_body   | top-pick         | Slave Ship is a powerful work for the human body in suffering and the violent relation between people and the natural environment. It is one of the strongest works for body, conflict, and nature together. 250AP.txt      |
| 115        | nature_body   | top-pick         | Olympia is a major work for the exposed female body and for challenging idealized nudity. It is one of the most important modern examples of the body as social and psychological subject. 250AP.txt                        |
| 116        | nature_body   | related          | The Saint-Lazare Station is useful for atmosphere, steam, and the urban environment. It is more of a nature/space support than a body-centered work. 250AP.txt                                                              |
| 118        | nature_body   | top-pick         | The Valley of Mexico is a strong landscape work that links nature to national identity. It is one of the best AP examples for environmental specificity and visual description of place. 250AP.txt                          |
| 119        | nature_body   | related          | The Burghers of Calais is useful for the aging body, sacrifice, and emotional expression. It is a strong supporting example of bodily vulnerability in public sculpture. 250AP.txt                                          |
| 120        | nature_body   | top-pick         | The Starry Night is a major work for the expressive natural world and the emotionalized landscape. It is one of the clearest AP works for nature transformed through feeling. 250AP.txt                                     |
| 122        | nature_body   | top-pick         | The Scream is a key work for the human body as emotional and psychological experience. It is essential for discussing anxiety, inner life, and bodily expression. 250AP.txt                                                 |
| 123        | nature_body   | top-pick         | Where Do We Come From? What Are We? Where Are We Going? is a major work for the body across life stages and the human condition. It is a strong example of symbolic figuration and existential meaning. 250AP.txt           |
| 125        | nature_body   | top-pick         | Mont Sainte-Victoire is a core landscape work for the abstracted representation of nature. It is highly valuable for discussing the natural world as structure and perception. 250AP.txt                                    |
| 126        | nature_body   | top-pick         | Les Demoiselles d’Avignon is a major work for the fractured body and the radical rethinking of figure representation. It is essential for discussions of the body in modern art. 250AP.txt                                  |
| 127        | nature_body   | related          | The Steerage is useful for the human body in travel, class, and modern social space. It is more of an identity and modernity example than a primary nature/body work. 250AP.txt                                             |
| 128        | nature_body   | related          | The Kiss is useful for bodily embrace and decorative idealization. It is secondary here but can support discussion of eroticized figure representation. 250AP.txt                                                           |
| 129        | nature_body   | related          | Brancusi’s The Kiss is relevant for bodily simplification and fused forms. It is a useful related example of abstraction and the human figure. 250AP.txt                                                                    |
| 131        | nature_body   | related          | Goldfish is relevant for nature, color, and decorative interior space. It is a secondary example of natural motifs in modern painting. 250AP.txt                                                                            |
| 133        | nature_body   | top-pick         | Self-Portrait as a Soldier is a strong work for the wounded body, identity, and psychological disturbance. It is a powerful example of the modern figure as fractured and damaged. 250AP.txt                                |
| 139        | nature_body   | top-pick         | Fallingwater is one of the best works for the relationship between architecture and nature. It is a top example of built space integrated with landscape. 250AP.txt                                                         |
| 140        | nature_body   | top-pick         | The Two Fridas is a major work for identity, bodily duplication, and emotional symbolism. It is especially strong for discussing the body as a site of personal conflict. 250AP.txt                                         |
| 141        | nature_body   | related          | The Migration of the Negro is useful for the human figure as social history and movement. It is a supporting example for body, migration, and collective identity. 250AP.txt                                                |
| 142        | nature_body   | related          | The Jungle is relevant for the human body in a hybrid, symbolic, and nature-saturated setting. It is useful for linking body and environment in modern art. 250AP.txt                                                       |
| 145        | nature_body   | top-pick         | Woman, I is a major work for distorted, expressive, and confrontational female figuration. It is one of the strongest AP examples of the body in postwar art. 250AP.txt                                                     |
| 148        | nature_body   | related          | Narcissus Garden is useful for repetition, reflective surfaces, and the viewer’s body in space. It is a secondary example for bodily experience rather than figuration. 250AP.txt                                           |
| 149        | nature_body   | related          | The Bay is a useful abstract work for natural environment and color field. It is a supporting nature example rather than a body-centered one. 250AP.txt                                                                     |
| 151        | nature_body   | top-pick         | Spiral Jetty is a major work for direct engagement with landscape and environmental change. It is one of the strongest works for nature as medium and site. 250AP.txt                                                       |
| 153        | nature_body   | related          | Chavín de Huántar is useful for sacred landscape, architecture, and hybrid imagery. It supports the theme through nature symbolism rather than direct figuration. 250AP.txt                                                 |
| 154        | nature_body   | related          | Mesa Verde cliff dwellings connect built form to the natural landscape in a compelling way. It is a strong related example for environment and habitat. 250AP.txt                                                           |
| 156        | nature_body   | related          | Great Serpent Mound is useful for animal form, landscape, and earthwork scale. It works well as a related nature-symbolism example. 250AP.txt                                                                               |
| 157        | nature_body   | related          | Templo Mayor is relevant for sacred landscape and ceremonial use, with cosmological symbolism tied to the natural and bodily world. It is secondary for this theme. 250AP.txt                                               |
| 158        | nature_body   | related          | Rulers feather headdress is a useful example of natural materials transformed into identity and power display. It supports the body and nature connection through feathers and status. 250AP.txt                            |
| 159        | nature_body   | related          | Cusco and Sacsayhuaman connect architecture to mountainous terrain and engineered landscape. It is useful for place and environment. 250AP.txt                                                                              |
| 160        | nature_body   | related          | Maize cobs are important for agricultural symbolism and the natural world in Inka art. They are a useful supporting example of nature as sacred and productive. 250AP.txt                                                   |
| 161        | nature_body   | top-pick         | Machu Picchu is a top work for architecture integrated into a dramatic natural landscape. It is one of the clearest AP examples of built form responding to place. 250AP.txt                                                |
| 162        | nature_body   | related          | All-Toqapu tunic is relevant for body, identity, and textile symbolism. It is a secondary example of the human body as marked by cloth and status. 250AP.txt                                                                |
| 164        | nature_body   | related          | The transformation mask is useful for the body, performance, and animal-human transformation. It is a strong related example of embodied ritual art. 250AP.txt                                                              |
| 165        | nature_body   | related          | Painted elk hide is relevant for animal representation and cultural identity. It supports the theme through animal form and natural material. 250AP.txt                                                                     |
| 166        | nature_body   | related          | Black-on-black ceramic vessel is useful for material craft and form, with indirect ties to organic shape. It is not a central nature/body work but can support a broader discussion. 250AP.txt                              |
| 173        | nature_body   | related          | Female Pwo mask is relevant for idealized female beauty and social identity. It is a strong body-related work in ritual context. 250AP.txt                                                                                  |
| 174        | nature_body   | related          | Portrait mask Mblo is useful for idealized facial beauty and identity. It supports discussion of the body as socially constructed image. 250AP.txt                                                                          |
| 175        | nature_body   | related          | Bundu mask is relevant for the female body, social initiation, and idealized form. It is a strong supporting example for body and identity. 250AP.txt                                                                       |
| 180        | nature_body   | related          | The veranda post is useful for bodily presence and social hierarchy through carved figures. It is a secondary example of the human body in sculpture. 250AP.txt                                                             |
| 182        | nature_body   | related          | The Bamiyan Buddha is a strong scale-and-body work because it monumentalizes the human figure in stone. It is useful for discussion of the body as sacred form in landscape. 250AP.txt                                      |
| 192        | nature_body   | top-pick         | The Great Stupa at Sanchi is a key work for sacred space and cosmic symbolism tied to form and movement. It is important for connecting architecture, ritual, and cosmology. 250AP.txt                                      |
| 194        | nature_body   | related          | The Funeral banner of Lady Dai is relevant for the body, death, and cosmological imagery. It supports discussion of the human form within the afterlife and natural universe. 250AP.txt                                     |
| 195        | nature_body   | related          | Longmen caves are useful for the monumental sacred body in Buddhist sculpture. They are a strong supporting example for bodily idealization and sacred scale. 250AP.txt                                                     |
| 196        | nature_body   | related          | Gold and jade crown is relevant for bodily display, identity, and natural materials. It supports discussion of how adornment transforms the body. 250AP.txt                                                                 |
| 198        | nature_body   | top-pick         | Borobudur is a top work for landscape-like sacred architecture and narrative relief tied to spiritual movement. It is valuable for discussing the body in ritual pilgrimage through space. 250AP.txt                        |
| 199        | nature_body   | top-pick         | Angkor Wat and Angkor Thom are strong works for the relationship between built environment, sacred cosmology, and the surrounding landscape. They are essential for architecture-space and nature together. 250AP.txt       |
| 200        | nature_body   | related          | Lakshmana Temple is useful for temple form, sacred imagery, and sculpted bodies. It is a strong secondary example rather than a top nature/body work. 250AP.txt                                                             |
| 201        | nature_body   | top-pick         | Travelers among Mountains and Streams is one of the strongest AP landscape paintings. It is essential for discussing nature as a spiritual and compositional subject. 250AP.txt                                             |
| 202        | nature_body   | top-pick         | Shiva as Lord of Dance is a key work for the divine body in motion. It is one of the strongest examples of anatomy, rhythm, and sacred embodiment. 250AP.txt                                                                |
| 203        | nature_body   | related          | Night Attack on the Sanj Palace is useful for the human figure in action and narrative sequence. It is a supporting body-and-story example. 250AP.txt                                                                       |
| 205        | nature_body   | related          | Portrait of Sin Sukju is useful for official identity and bodily presentation. It is secondary here but supports discussion of the body as social image. 250AP.txt                                                          |
| 207        | nature_body   | related          | Ryoan-ji is a useful example of landscape abstraction and the meditative use of stone. It is a secondary nature work rather than a top pick. 250AP.txt                                                                      |
| 209        | nature_body   | related          | The Taj Mahal is relevant because it links architecture, landscape, and memorialization of the human body. It is better as a death/afterlife work but still usable here. 250AP.txt                                          |
| 211        | nature_body   | top-pick         | The Great Wave is a top work for the power of nature and the human figure’s vulnerability before it. It is one of the clearest AP examples of nature as force. 250AP.txt                                                    |
| 214        | nature_body   | related          | Moai on platform ahu is relevant for the monumental human body and ancestral presence. It is a strong supporting work for body-as-monument. 250AP.txt                                                                       |
| 215        | nature_body   | related          | Ahu ula feather cape is useful for the body transformed by natural materials. It is a strong example of adornment, identity, and status. 250AP.txt                                                                          |
| 217        | nature_body   | related          | Female deity is relevant for the human body as sacred form. It is useful as a supporting Pacific example of figuration. 250AP.txt                                                                                           |
| 220        | nature_body   | related          | Tamati Waka Nene is useful for portraiture and Indigenous identity. It is a supporting example of the body as culturally specific presence. 250AP.txt                                                                       |
| 221        | nature_body   | related          | Navigation chart is relevant for environmental knowledge and the reading of ocean space. It supports the nature side of the theme in a nonfigurative way. 250AP.txt                                                         |
| 223        | nature_body   | related          | Presentation of Fijian mats and tapa cloths is useful for performance, bodily display, and natural materials. It is a broad supporting example rather than a core one. 250AP.txt                                            |
| 225        | nature_body   | related          | Vietnam Veterans Memorial is more of a memory work, but the reflective surface also implicates the viewer’s body. It is a supporting example of bodily presence in public space. 250AP.txt                                  |
| 226        | nature_body   | related          | Horn Players is relevant for bodily gesture, performance, and identity. It is more strongly linked to identity and narrative than to nature/body. 250AP.txt                                                                 |
| 227        | nature_body   | related          | Summer Trees is useful for the natural world as subject and abstraction. It is a secondary nature example. 250AP.txt                                                                                                        |
| 228        | nature_body   | related          | Androgyn III is relevant for bodily form and materiality. It is useful as a supporting contemporary body work. 250AP.txt                                                                                                    |
| 231        | nature_body   | related          | Untitled 228 is a related example for constructed identity and the body in photography. It is secondary for nature/body but useful for figuration. 250AP.txt                                                                |
| 233        | nature_body   | related          | Trade Gifts for Trading Land with White People includes symbolic references to land and Indigenous identity. It is a broader nature-and-politics work rather than a direct body study. 250AP.txt                            |
| 234        | nature_body   | top-pick         | Earth’s Creation is a major work for abstraction grounded in land, place, and natural process. It is one of the strongest contemporary examples of nature as subject and material idea. 250AP.txt                           |
| 235        | nature_body   | related          | Rebellious Silence is useful for bodily presence, gender, and identity under constraint. It is a supporting figure work rather than a major nature work. 250AP.txt                                                          |
| 237        | nature_body   | related          | Pisupo Lua Afe is relevant for consumer materials and environmental commentary. It can support discussions of nature and the human impact on it. 250AP.txt                                                                  |
| 239        | nature_body   | related          | The Crossing is useful for the body, performance, and elemental imagery. It is a strong secondary example of spiritualized bodily experience. 250AP.txt                                                                     |
| 242        | nature_body   | related          | Lying with the Wolf is relevant for bodily symbolism and animal-human relationships. It is a useful supporting contemporary drawing for this theme. 250AP.txt                                                               |
| 244        | nature_body   | related          | The Swing after Fragonard is useful for the body, landscape, and gendered performance in a contemporary installation. It is a related example rather than a core one. 250AP.txt                                             |
| 247        | nature_body   | related          | Preying Mantra is relevant for hybrid bodies and animal imagery. It is a strong supporting contemporary example of nature and body transformation. 250AP.txt                                                                |
| 250        | nature_body   | related          | Sunflower Seeds is useful for natural imagery, repetition, and the transformation of organic subject matter into mass-produced porcelain. It is more of a materials/concept work than a top nature/body work. 250AP.txt     |
