row	image_num	title	drive_url
54	51.0	San Vitale. Ravenna, Italy. Early Byzantine Europe. c. 526–547 C.E. Brick, marble, and stone veneer; mosaic.	https://docs.google.com/document/d/1QBgsZTfYfS7hsBU4a-F_pc14DBVv3-2hbQRuu6wJ5ds/edit
55	52.0	Hagia Sophia. Constantinople (Istanbul). Anthemius of Tralles and Isidorus of Miletus. 532–537 C.E. Brick and ceramic elements with stone and mosaic veneer.	https://docs.google.com/document/d/1ys6M3khCgwyCnlWbG0QUv4kyGLjhrAzOsIOB9Kgv0Jk/edit
56	53.0	Merovingian looped fibulae. Early medieval Europe. Mid-sixth century C.E. Silver gilt worked in filigree, with inlays of garnets and other stones.	https://docs.google.com/document/d/1I9-RRjFncfI6U2jyH04Gs2_ECQgPpXJE-2BCTPPc5zc/edit
57	54.0	Virgin (Theotokos) and Child between Saints Theodore and George. Early Byzantine Europe. Sixth or early seventh century C.E. Encaustic on wood.	https://docs.google.com/document/d/1CELZ-HxyYgOy3ntLTkxRZWFb3TH7GnB6YVpSUeIX4Ao/edit
58	55.0	Lindisfarne Gospels: St. Matthew, cross-carpet page; St. Luke portrait page; St. Luke incipit page. Early medieval (Hiberno Saxon) Europe. c. 700 C.E. Illuminated manuscript (ink, pigments, and gold on vellum).	https://docs.google.com/document/d/1rN4DREZa16UBrM1y9Yt35HQOGH6AvE4neuG1axvGCpw/edit
59	56.0	Great Mosque. Córdoba, Spain. Umayyad. c. 785–786 C.E. Stone masonry.	https://docs.google.com/document/d/1Cei1NwCedUU8Ko-GmkMB44UNBjzUCRj1Pwwa9WYheus/edit
60	57.0	Pyxis of al-Mughira. Umayyad. c. 968 C.E. Ivory.	https://docs.google.com/document/d/1OkXJXG7J7-lQBQCh_UieTrxZkuUfI4TydBwsutFbXe4/edit
61	58.0	Church of Sainte-Foy. Conques, France. Romanesque Europe. Church: c. 1050–1130 C.E.; Reliquary of Saint Foy: ninth century C.E., with later additions. Stone (architecture); stone and paint (tympanum); gold, silver, gemstones, and enamel over wood (reliquary). 	https://docs.google.com/document/d/11rJRGBUKT4qtUxf-1fuh5sQ0OyJ2fprXED_dN7rWaQI/edit
62	59.0	Bayeux Tapestry. Romanesque Europe (English or Norman). c. 1066–1080 C.E. Embroidery on linen.	https://docs.google.com/document/d/1AoBfcwgqkBqQktwUtctvYF2wqbC5MVShR0awC__5rgI/edit
63	60.0	Chartres Cathedral. Chartres, France. Gothic Europe. Original construction c. 1145–1155 C.E.; reconstructed c. 1194–1220 C.E. Limestone, stained glass.	https://docs.google.com/document/d/1M1HBtTNnnE-PnIIAC2Gw7SOZWjdGvlimdQzzIVKh8oc/edit
64	61.0	Dedication Page with Blanche of Castile and King Louis IX of France, Scenes from the Apocalypse from Bibles moralisées. Gothic Europe. c. 1225–1245 C.E. Illuminated manuscript (ink, tempera, and gold leaf on vellum).	https://docs.google.com/document/d/18Wh-XuzMT50Svl8I08jTdNLroSfE4V3NjMLrhM2hfYE/edit
65	62.0	Röttgen Pietà. Late medieval Europe. c. 1300–1325 C.E. Painted wood.	https://docs.google.com/document/d/1ANXiBHzhwnknWKgYhahFSUVeAFG08WG8i51Eo_JUOaw/edit
66	63.0	Arena (Scrovegni) Chapel, including Lamentation. Padua, Italy. Unknown architect; Giotto di Bondone (artist). Chapel: c. 1303 C.E.; Fresco: c. 1305. Brick (architecture) and fresco.	https://docs.google.com/document/d/1Qr2U93CdsHqMpEYZ5Ig0sLU3XEyUpn08InAQMiiXaa0/edit
67	64.0	Golden Haggadah (The Plagues of Egypt, Scenes of Liberation, and Preparation for Passover). Late medieval Spain. c. 1320 C.E. Illuminated manuscript (pigments and gold leaf on vellum).	https://docs.google.com/document/d/1z59c6LtmlsQAseAc0bPMYBcxAdO8-iVtdv2w_0Qgng8/edit
68	65.0	Alhambra. Granada, Spain. Nasrid Dynasty. 1354–1391 C.E. Whitewashed adobe stucco, wood, tile, paint, and gilding. 	https://docs.google.com/document/d/1LGpbmwcnEzgybWsG35j4eGphtqtUbA8rGkr4f0z5oYg/edit
69	66.0	Annunciation Triptych (Merode Altarpiece). Workshop of Robert Campin. 1427–1432 C.E. Oil on wood.	https://docs.google.com/document/d/10S-rG4_QNFM3Cj8TTlZnVMxuqD-j9tzCabBVpe36KUA/edit
70	67.0	Pazzi Chapel. Basilica di Santa Croce. Florence, Italy. Filippo Brunelleschi (architect). c. 1429–1461 C.E. Masonry.	https://docs.google.com/document/d/1-WgQmLqyzYeqYSD1QfQbYJe6OQbm8g-7yJ_CNQ2IPHY/edit
71	68.0	The Arnolfini Portrait. Jan van Eyck. c. 1434 C.E. Oil on wood.	https://docs.google.com/document/d/1AOc1sDI1wJvgPgc8R95pKRha1Bmj5dgkr0Uvmp_Sncw/edit
72	69.0	David. Donatello. c. 1440–1460 C.E. Bronze.	https://docs.google.com/document/d/1YBanEsbiWYpBPoZe_W-DIDCrs5nOJrcqax2yiZ7pRs0/edit
73	70.0	Palazzo Rucellai. Florence, Italy. Leon Battista Alberti (architect). c. 1450 C.E. Stone, masonry.	https://docs.google.com/document/d/1xijggByXrH6bDFJ5Fdw9wGNbLQk0ovjGLBe3Ic2eSBo/edit
74	71.0	Madonna and Child with Two Angels. Fra Filippo Lippi. c. 1465 C.E. Tempera on wood.	https://docs.google.com/document/d/187CDjiGH2sJEHYM08P1QhGtXSOBUdvwlQQ4dvw2JDY8/edit
75	72.0	Birth of Venus. Sandro Botticelli. c. 1484–1486 C.E. Tempera on canvas. 	https://docs.google.com/document/d/1fMkudWdM9JnC2distY2G1z7wAz7KdV9nnE2Q54_is54/edit
76	73.0	Last Supper. Leonardo da Vinci. c. 1494–1498 C.E. Oil and tempera.	https://drive.google.com/file/d/186JdrFfCQADTJkmlKB2lvp9D6pZs3hiz/view?usp=sharing
77	74.0	Adam and Eve. Albrecht Dürer. 1504 C.E. Engraving.	https://drive.google.com/file/d/13Dl-qBhSm8WgbSzE0Emqa7Q0aUntqrAw/view?usp=sharing
78	75.0	Sistine Chapel ceiling and altar wall frescoes. Vatican City, Italy. Michelangelo. Ceiling frescoes: c. 1508–1512 C.E.; altar frescoes: c. 1536–1541 C.E. Fresco.	https://drive.google.com/file/d/1mbLDDGNt7cgMMbkCqH4M33LY3M8vxDyK/view?usp=sharing
79	76.0	School of Athens. Raphael. 1509–1511 C.E. Fresco.	https://drive.google.com/file/d/1sS3etN0ODiGVi7i7N9wXchvMReIKUY2N/view?usp=sharing
80	77.0	Isenheim altarpiece. Matthias Grünewald. c. 1512–1516 C.E. Oil on wood.	https://drive.google.com/file/d/1Uma2u6BYzYcih4WrQ-R_1U3yubZ8QMke/view?usp=sharing
81	78.0	Entombment of Christ. Jacopo da Pontormo. 1525–1528 C.E. Oil on wood.	https://drive.google.com/file/d/1Y9O2G49uT3GBsmrmIWhJAc2sbzKC_fbA/view?usp=sharing
82	79.0	Allegory of Law and Grace. Lucas Cranach the Elder. c. 1530 C.E. Woodcut and letterpress.	https://drive.google.com/file/d/1Hn4a1rgMuU4JxoLYIfYEa8QB2_FGVO90/view?usp=sharing
83	80.0	Venus of Urbino. Titian. c. 1538 C.E. Oil on canvas. 	https://drive.google.com/file/d/1Kp3yh6CbqZ-oB2LIEQwksW7pSX_t6xPP/view?usp=sharing
84	81.0	Frontispiece of the Codex Mendoza. Viceroyalty of New Spain. c. 1541–1542 C.E. Ink and color on paper. 	https://drive.google.com/file/d/1eTAFRj6DxJg2y3Y7akw24etziXwZoSyv/view?usp=sharing
85	82.0	Il Gesù, including Triumph of the Name of Jesus ceiling fresco. Rome, Italy. Giacomo da Vignola, plan (architect); Giacomo della Porta, facade (architect); Giovanni Battista Gaulli, ceiling fresco (artist). Church: 16th century C.E.; facade: 1568–1584 C.E.; fresco and stucco figures: 1676–1679 C.E. Brick, marble, fresco, and stucco	https://drive.google.com/file/d/1UR2m3-vgf6o4VwTix-si8nLqMxVko3LV/view?usp=sharing
86	83.0	Hunters in the Snow. Pieter Bruegel the Elder. 1565 C.E. Oil on wood.	https://drive.google.com/file/d/1f9GPXL7Cpbr6ky7zTavu-ta0qeQv-NJN/view?usp=sharing
87	84.0	Mosque of Selim II. Edirne, Turkey. Sinan (architect). 1568–1575 C.E. Brick and stone.	https://drive.google.com/file/d/1v2eiwVKRdRInCzC4arA__Ai70F6CcHcU/view?usp=sharing
88	85.0	Calling of Saint Matthew. Caravaggio. c. 1597–1601 C.E. Oil on canvas.	https://drive.google.com/file/d/17MBs2_fexaMhFVGRdVTc1YHPBtHe4lrg/view?usp=sharing
89	86.0	Henri IV Receives the Portrait of Marie de’ Medici, from the Marie de’ Medici Cycle. Peter Paul Rubens. 1621–1625 C.E. Oil on canvas.	https://docs.google.com/document/d/1mxX44y2FENLAmBXK-jA8mL7IlGjPqK-4k4RScTIPXbQ/edit
90	87.0	Self-Portrait with Saskia. Rembrandt van Rijn. 1636 C.E. Etching.	https://drive.google.com/file/d/1LpbFkm_EhECaWX9xWnttDlM0kXomZueD/view?usp=sharing
91	88.0	San Carlo alle Quattro Fontane. Rome, Italy. Francesco Borromini (architect). 1638–1646 C.E. Stone and stucco.	https://drive.google.com/file/d/1sR8bhDaAh36QD09eZCN7-fGtYEHNuJhx/view?usp=sharing
92	89.0	Ecstasy of Saint Teresa. Cornaro Chapel, Church of Santa Maria della Vittoria. Rome, Italy. Gian Lorenzo Bernini. c. 1647–1652 C.E. Marble (sculpture); stucco and gilt bronze (chapel).	https://drive.google.com/file/d/1hAKT91_uHWpWtUGMjONG4joBoDvoqFpp/view?usp=drive_link
93	90.0	Angel with Arquebus, Asiel Timor Dei. Master of Calamarca (La Paz School). c. 17th century C.E. Oil on canvas.	https://drive.google.com/file/d/1Ui0hwrsbKw-w7xwgrgidEphu7d6XW25j/view?usp=sharing
94	91.0	Las Meninas. Diego Velázquez. c. 1656 C.E. Oil on canvas.	https://drive.google.com/file/d/1EROWc3x3n7nMBjobi8Tygr-swFgu0e4d/view?usp=sharing
95	92.0	Woman Holding a Balance. Johannes Vermeer. c. 1664 C.E. Oil on canvas.	https://drive.google.com/file/d/1c7ZAxHLT8wA7_2AyHwaIA0zG2jmefHv_/view?usp=sharing
96	93.0	The Palace at Versailles. Versailles, France. Louis Le Vau and Jules Hardouin-Mansart (architects). Begun 1669 C.E. Masonry, stone, wood, iron, and gold leaf (architecture); marble and bronze (sculpture); gardens.	https://docs.google.com/document/d/1RGLPz6daz8liBw2DJi8QLAuP_akIa6Ycu79yld17rYI/edit
97	94.0	Screen with the Siege of Belgrade and hunting scene. Circle of the González Family. c. 1697–1701 C.E. Tempera and resin on wood, shell inlay.	https://drive.google.com/file/d/1FmTxengaP1XicP7jn1YrrXID3vUthrQZ/view?usp=sharing
98	95.0	The Virgin of Guadalupe (Virgen de Guadalupe). Miguel González. c. 1698 C.E.Based on original Virgin of Guadalupe. Basilica of Guadalupe, Mexico City. 16th century C.E. Oil on canvas on wood, inlaid with mother-of-pearl.	https://drive.google.com/file/d/1NHPhhWDSAl7SjPTYAyTLv9m_Z1tci19o/view?usp=sharing
99	96.0	Fruit and Insects. Rachel Ruysch. 1711 C.E. Oil on wood.	https://drive.google.com/file/d/1wOtu_PCBTQfOh-AJv5UD_OqE0V-F8N_P/view?usp=sharing
100	97.0	Spaniard and Indian Produce a Mestizo. Attributed to Juan Rodríguez Juárez. c.1715 C.E. Oil on canvas.	https://drive.google.com/file/d/1ncg0kE-PvbLQM1hJLcCD4JPS_awp0f8M/view?usp=sharing
101	98.0	The Tête à Tête, from Marriage à la Mode. William Hogarth. c. 1743 C.E. Oil on canvas.	https://drive.google.com/file/d/1OnvZFXkSva0RIDFPn4qjf7ASZT3K2gk0/view?usp=sharing
102	99.0	Portrait of Sor Juana Inés de la Cruz. Miguel Cabrera. c. 1750 C.E. Oil on canvas	https://drive.google.com/file/d/1tJL4h8Bx2HY73KK0-tPrxtLH4Lj6H3gt/view?usp=sharing
103	Content Area 4	Later Europe and Americas	
104	100.0	A Philosopher Giving a Lecture on the Orrery. Joseph Wright of Derby. c. 1763–1765 C.E. Oil on canvas.	https://drive.google.com/file/d/1tCExkOG_zABJ5FGXT0okkHnxwELeZl7u/view?usp=sharing
105	101.0	The Swing. Jean-Honoré Fragonard. 1767 C.E. Oil on canvas.	https://drive.google.com/file/d/1vx1E8nsNBmtLB3xxhssqMuIyvxHMjdoB/view?usp=sharing
106	102.0	Monticello. Virginia, U.S. Thomas Jefferson (architect). 1768–1809 C.E. Brick, glass, stone, and wood.	https://drive.google.com/file/d/10Ed7IUHWDAy93Gq270rcjtmFDQgAi4L2/view?usp=sharing
107	103.0	The Oath of the Horatii. Jacques-Louis David. 1784 C.E. Oil on canvas.	https://drive.google.com/file/d/1cW2Z-HiPYGSxL4UWwGynHFWJvN997Zo_/view?usp=sharing
108	104.0	George Washington. Jean-Antoine Houdon. 1788–1792 C.E. Marble. 	https://drive.google.com/file/d/1PH8Hr5XCu0sLwGUg6EZa92dGv2xAlj5-/view?usp=sharing
109	105.0	Self-Portrait. Elisabeth Louise Vigée Le Brun. 1790 C.E. Oil on canvas.	https://drive.google.com/file/d/1uOtjxSiP8EHqNf5Nmc2deoAygt_D6Fto/view?usp=drive_link
110	106.0	Y no hai remedio (And There’s Nothing to Be Done), from Los Desastres de la Guerra (The Disasters of War), plate 15. Francisco de Goya. 1810–1823 C.E. (published 1863). Etching, drypoint, burin, and burnishing.	https://drive.google.com/file/d/1XXHo9bOvup7pa2MR3O8iFLtco9DrFjZ5/view?usp=sharing
111	107.0	La Grande Odalisque. Jean-Auguste-Dominique Ingres. 1814 C.E. Oil on canvas.	https://drive.google.com/file/d/15_76gEynjZ-DtxX58reecvStyuTiK01G/view?usp=sharing
112	108.0	Liberty Leading the People. Eugène Delacroix. 1830 C.E. Oil on canvas.	https://drive.google.com/file/d/1Nq1h1u30Q4jsRC76XI0VhYvE3_8FT8ib/view?usp=sharing
113	109.0	The Oxbow (View from Mount Holyoke, Northampton, Massachusetts, after a Thunderstorm). Thomas Cole. 1836 C.E. Oil on canvas.	https://drive.google.com/file/d/1HjRv7phNZaPBJKp109XX1GE68P_7FcbS/view?usp=sharing
114	110.0	Still Life in Studio. Louis-Jacques-Mandé Daguerre. 1837 C.E. Daguerreotype. 	https://drive.google.com/file/d/1FwQwhS5__k91wRzWDqOgjtADInxfrMVb/view?usp=sharing
115	111.0	Slave Ship (Slavers Throwing Overboard the Dead and Dying, Typhoon Coming On). Joseph Mallord William Turner. 1840 C.E. Oil on canvas. 	https://drive.google.com/file/d/1XsVhbY4g2Qyuzb-XJgFf1NnmvMKSdfAl/view?usp=sharing
116	112.0	Palace of Westminster (Houses of Parliament). London, England. Charles Barry and Augustus W. N. Pugin (architects). 1840–1870 C.E. Limestone masonry and glass.	https://drive.google.com/file/d/1NoEa9YeCcxJBUg6KEhm3XONzMugz0rOM/view?usp=sharing
117	113.0	The Stone Breakers. Gustave Courbet. 1849 C.E. (destroyed in 1945). Oil on canvas.	https://drive.google.com/file/d/1JLr3Od9lzczzhwOVDAvB9gYkK5WWym-Y/view?usp=sharing
118	114.0	Nadar Raising Photography to the Height of Art. Honoré Daumier. 1862 C.E. Lithograph.	https://drive.google.com/file/d/1GqXDza-GptBR8TKDbvcOyyLe_FqAkwmu/view?usp=sharing
119	115.0	Olympia. Édouard Manet. 1863 C.E. Oil on canvas.	https://drive.google.com/file/d/1w54H760aV9WPjJdklEHhQvj5nlpz598L/view?usp=sharing
120	116.0	The Saint-Lazare Station. Claude Monet. 1877 C.E. Oil on canvas.	https://drive.google.com/file/d/1v47jvyMETdKYn4SWKv5iP8XpRy2lhtCI/view?usp=sharing
121	117.0	The Horse in Motion. Eadweard Muybridge. 1878 C.E. Albumen print.	https://drive.google.com/file/d/1CvfnBpcXG0sAU6VidE1tTbEJ6w0n_NJC/view?usp=sharing
122	118.0	The Valley of Mexico from the Hillside of Santa Isabel (El Valle de México desde el Cerro de Santa Isabel). Jose María Velasco. 1882 C.E. Oil on canvas.	https://docs.google.com/document/d/1sToYY6Lt31o-qPMBMy6DoZ87coi9e2EqnFQkr8LvyPc/edit
